,created_at,screen_name,location,text
0,2021-05-05 07:07:46,valvolineasia,Asia,"For heavy-duty applications, you need a name you can trust. Valvoline has engine oils for all diesel applications.… https://t.co/4azyeswZUF"
1,2021-05-05 07:00:03,BizolMotorOil,Berlin,BIZOL G+ is formulated to ensure you even more than what the international standard norms demand: better lubricatio… https://t.co/M8Kv673DKw
2,2021-05-05 05:13:41,getdistributors,New Delhi,"Take the #distributorship of Engine Oils, Lubricants, Oil Additives, Car Polish, Bike Polish, and Car Wash Shampoo,… https://t.co/bsuOW0HRtV"
3,2021-05-05 04:52:31,serviceonway,Dehradun,"🤔Understanding the language of your #cars &amp; #bikes needs an ample👐amount of experience!
At 🛣ServiceOnWay, every… https://t.co/jbtGRBPgCj"
4,2021-05-05 04:13:41,mannolindia,"Tamilnadu, India.","MANNOL - Booster for your engine performance🚗😄
https://t.co/tdp6PAtRYz

#mannolindia #mannoloil #mannol  #engineoil… https://t.co/awu7Bxp39C"
5,2021-05-05 01:43:53,mandjsunshine,"Medley, FL","Today let's avoid friction and May the Motion-Plus be with you!

https://t.co/z9AHrMSa4B

#maythe4thbewithyou… https://t.co/HbV6I5KjIW"
6,2021-05-05 01:41:42,mandjsunshine,"Medley, FL","A smooth sea never made a skilled sailor.
Remember: We Speak Engines
https://t.co/BY9mosPajV
#motoroil #engineoil… https://t.co/iXU8VlyDbR"
7,2021-05-04 19:54:14,BerrymanInc,"Arlington, TX",Our #B33 degreaser is a proprietary blend of high-performance detergents and emulsifiers easily penetrates road gri… https://t.co/kD13kGgFob
8,2021-05-04 18:05:50,caddydaddyvc,"Napa, CA",Caddy Daddy receives a lot of questions regarding which fluids work best for classic Cadillacs. This video should h… https://t.co/OlDNRXrfWQ
9,2021-05-04 16:30:00,AfricanPetro,"Johannesburg, South Africa","Engine oil filtration and the role of the correct lubricant

Filters have been standard equipment on engines since… https://t.co/7pXYUIGZS3"
10,2021-05-04 13:37:52,Malek_Gt,CDGT,RT @BizolMotorOil: How does viscosity affect your engine? Read all about it in our #Blog! https://t.co/QoF2iCqdHU  #bizol #engineoil #oilch…
11,2021-05-04 13:34:02,10_motorsports,"Ormond Beach, FL",We have the necessities you need to keep your bike running good. #oil #oilfilter #engineoil #gearoil #airfilter and… https://t.co/V0KtX2bHJw
12,2021-05-04 13:32:45,BizolMotorOil,Berlin,How does viscosity affect your engine? Read all about it in our #Blog! https://t.co/QoF2iCqdHU  #bizol #engineoil… https://t.co/zyfIwQTjrX
13,2021-05-04 09:47:56,AfricanPetro,"Johannesburg, South Africa","Engine oil filtration and the role of the correct lubricant

Filters have been standard equipment on engines since… https://t.co/7JTcbp4lJC"
14,2021-05-04 07:54:19,MountMeruRw,Kicukiro ,"Go digital on your next car service with @MountMeruRw
simply dial  0788245286 or 0735134407 and our skilled team sh… https://t.co/pvCDTkIyKE"
15,2021-05-04 03:37:25,BradPorcellato,"New Westminster, BC.",High Mileage #EngineOil with MaxLife Technology SAE 5W-30 Synthetic Blend Motor Oil 5 QT by Valvoline https://t.co/FYtD9c3XJ7 via @amazon
